num_leaves,max_depth,learning_rate,objective,metric,boosting,feature_fraction,max_bin,min_data_in_leaf,min_data_in_bin,bagging_freq,random_seed,lambda_l1,lambda_l2,pos_bagging_fraction,neg_bagging_fraction,verbose,num_iterations,early_stopping_round,train_auc,val_auc,hold_out_auc,train_test_diff,n_estimators,score
5,6,0.012164901190674024,binary,auc,gbdt,0.32168778729638864,60,925,100,20,2019,0.19181040718330644,2.218528032370785,0.6024313109934584,0.4509341575561647,-1,20000,50,0.9553266966173038,0.9516638167979535,0.9512642610206337,0.0036628798193503176,4779,0.26349831426343234
10,4,0.010048839937959894,binary,auc,gbdt,0.4540087480170325,10,800,20,20,2019,17.139898063428248,32.404591244918464,0.49458256640597675,0.6759959505332225,-1,20000,50,0.9043047781990978,0.9084874172048742,0.9080460627858982,-0.004182639005776423,18,0.2756983118204047
14,11,0.007549303156130963,binary,auc,gbdt,0.7260321470789353,50,525,60,20,2019,12.723052892467381,20.905876458663673,0.6897374802634323,0.8313706968202836,-1,20000,50,0.9592993123422002,0.9563863936441251,0.9548246274808282,0.0029129186980750843,3281,0.26203177462976274
8,7,0.006539186028716123,binary,auc,gbdt,0.782229870438193,100,300,40,20,2019,20.98364906492796,13.822508945034897,0.21103037586397616,0.3765063019632735,-1,20000,50,0.9169580099006583,0.9202602987591212,0.9163975956512603,-0.003302288858462843,88,0.27208938374341507
12,9,0.005576854986147231,binary,auc,gbdt,0.5790430666026279,90,950,10,20,2019,8.982861640975328,9.022324508464372,0.7922180062214962,0.2984277957067897,-1,20000,50,0.9626420273298675,0.958107444544895,0.9567639199527597,0.00453458278497243,5091,0.26199430766004
15,10,0.00932041414841907,binary,auc,gbdt,0.8407641605786771,40,850,75,20,2019,4.7901010348072095,5.329204589231448,0.3869847908761688,0.2170287507637746,-1,20000,50,0.9585569239413868,0.9551352180466919,0.9545644350017909,0.0034217058946949264,2399,0.26250035425859036
19,4,0.013786431912381696,binary,auc,gbdt,0.9421900113333925,80,150,45,20,2019,2.3484097603912786,43.065196448846834,0.9400574599474145,0.7729734405605249,-1,20000,50,0.9676073220663125,0.9618093027570067,0.9614690746196516,0.005798019309305791,2700,0.26133477083043477
10,2,0.011356232902249299,binary,auc,gbdt,0.5449097993630304,60,400,25,20,2019,14.620933417116154,1.7626674890538392,0.5788871533812726,0.47503436628951806,-1,20000,50,0.9500916125613103,0.948716978579524,0.9474334293946943,0.0013746339817862774,4039,0.2636932712570641
22,5,0.01215560376396115,binary,auc,gbdt,0.42924584449941794,100,275,60,20,2019,35.79619326946003,25.906895046054203,0.164838170968655,0.16926875733367536,-1,20000,50,0.9319560439317472,0.9323319591961213,0.9314019038693132,-0.0003759152643740826,1933,0.2679166804919141
6,6,0.010244262435298388,binary,auc,gbdt,0.6646637885830144,90,500,35,20,2019,44.39060793164392,9.891194540232156,0.5135732504402649,0.5681250213355463,-1,20000,50,0.9468745892748915,0.9455311748931486,0.9432036139546641,0.0013434143817429023,2565,0.2645493247647776
17,12,0.008271935085204052,binary,auc,gbdt,0.5058920815028,70,550,55,20,2019,10.393211112593715,6.294848974457608,0.6648360488278972,0.7441713385462679,-1,20000,50,0.9683695061992814,0.9622267409700647,0.9610940188279563,0.006142765229216751,5463,0.26131312814418545
